/0:0:0:0:0:0:0:1 [Wed Mar 28 15:14:44 MDT 2018] GET /index.html HTTP/1.1 1042
/0:0:0:0:0:0:0:1 [Wed Mar 28 15:15:17 MDT 2018] GET /index.html HTTP/1.1 1042
/0:0:0:0:0:0:0:1 [Wed Mar 28 15:17:14 MDT 2018] GET /index.html HTTP/1.1 1042
/0:0:0:0:0:0:0:1 [Wed Mar 28 15:18:17 MDT 2018] GET /index.html HTTP/1.1 72
/0:0:0:0:0:0:0:1 [Wed Mar 28 15:20:18 MDT 2018] GET /space.jpeg HTTP/1.1 16610
/0:0:0:0:0:0:0:1 [Wed Mar 28 16:37:11 MDT 2018] GET /www.amazon.com HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Wed Mar 28 16:37:18 MDT 2018] GET /adsfas HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Wed Mar 28 16:38:24 MDT 2018] GET /adsfas HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:37:58 MDT 2018] GET / HTTP/1.1 200 72
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:37:58 MDT 2018] GET /favicon.ico HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:38:04 MDT 2018] GET /404.html HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:38:12 MDT 2018] GET /space.jpeg HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:38:14 MDT 2018] GET /space.jpeg HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:38:56 MDT 2018] GET /space.jpeg HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:39:08 MDT 2018] GET /index.html HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:39:10 MDT 2018] GET /index.html HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:39:13 MDT 2018] GET / HTTP/1.1 200 72
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:39:18 MDT 2018] GET /space.jpeg HTTP/1.1 404 0
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:44:50 MDT 2018] GET / HTTP/1.1 200 72
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:44:55 MDT 2018] GET /index.hml HTTP/1.1 404 75
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:45:41 MDT 2018] GET /index.html HTTP/1.1 404 75
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:46:34 MDT 2018] GET /index.html HTTP/1.1 404 75
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:47:47 MDT 2018] GET /index.html HTTP/1.1 200 72
/0:0:0:0:0:0:0:1 [Mon Apr 02 00:47:53 MDT 2018] GET /space.jpeg HTTP/1.1 200 16610
